L1,L2,L3,pIC50,L1_MolWt,L1_MolLogP,L1_NumHDonors,L1_NumHAcceptors,L1_TPSA,L1_NumRotatableBonds,L1_NumAromaticRings,L1_NumAliphaticRings,L1_FractionCSP3,L1_HeavyAtomCount,L2_MolWt,L2_MolLogP,L2_NumHDonors,L2_NumHAcceptors,L2_TPSA,L2_NumRotatableBonds,L2_NumAromaticRings,L2_NumAliphaticRings,L2_FractionCSP3,L2_HeavyAtomCount,L3_MolWt,L3_MolLogP,L3_NumHDonors,L3_NumHAcceptors,L3_TPSA,L3_NumRotatableBonds,L3_NumAromaticRings,L3_NumAliphaticRings,L3_FractionCSP3,L3_HeavyAtomCount
c1(cc(cc(n1)c1ccccn1)c1ccccc1)c1ncccc1,[O-]N(=O)=O,[O-]N(=O)=O,6.06,309.372,4.872600000000004,0.0,3.0,38.67,3.0,4.0,0.0,0.0,24.0,62.004000000000005,-0.23910000000000006,0,3,66.19999999999999,0,0,0,0.0,4,62.004000000000005,-0.23910000000000006,0,3,66.19999999999999,0,0,0,0.0,4
c1(cc(cc(n1)c1ccccn1)c1ccccc1)c1ncccc1,[O-]N(=O)=O,[O-]N(=O)=O,6.38,309.372,4.872600000000004,0.0,3.0,38.67,3.0,4.0,0.0,0.0,24.0,62.004000000000005,-0.23910000000000006,0,3,66.19999999999999,0,0,0,0.0,4,62.004000000000005,-0.23910000000000006,0,3,66.19999999999999,0,0,0,0.0,4
c1(cc(cc(n1)c1ccccn1)c1ccccc1)c1ncccc1,OC(=O)c1ccccc1,[O-]N(=O)=O,6.38,309.372,4.872600000000004,0.0,3.0,38.67,3.0,4.0,0.0,0.0,24.0,122.12299999999996,1.3848,1,1,37.3,1,1,0,0.0,9,62.004000000000005,-0.23910000000000006,0,3,66.19999999999999,0,0,0,0.0,4
c1(cc(cc(n1)c1ccccn1)c1ccccc1)c1ncccc1,OC(=O)c1ccccc1,[O-]N(=O)=O,6.32,309.372,4.872600000000004,0.0,3.0,38.67,3.0,4.0,0.0,0.0,24.0,122.12299999999996,1.3848,1,1,37.3,1,1,0,0.0,9,62.004000000000005,-0.23910000000000006,0,3,66.19999999999999,0,0,0,0.0,4
c1(cc(cc(n1)c1ccccn1)c1ccccc1)c1ncccc1,OC(=O)c1ccccc1,[O-]N(=O)=O,6.43,309.372,4.872600000000004,0.0,3.0,38.67,3.0,4.0,0.0,0.0,24.0,122.12299999999996,1.3848,1,1,37.3,1,1,0,0.0,9,62.004000000000005,-0.23910000000000006,0,3,66.19999999999999,0,0,0,0.0,4
 c1(cc(cc(n1)c1ccccn1)c1ccccc1)c1ncccc1,Cl,Cl,6.07,309.372,4.872600000000004,0.0,3.0,38.67,3.0,4.0,0.0,0.0,24.0,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1
 c1(cc(cc(n1)c1ccccn1)c1ccccc1)c1ncccc1,Cl,Cl,6.18,309.372,4.872600000000004,0.0,3.0,38.67,3.0,4.0,0.0,0.0,24.0,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1
 c1(cc(cc(n1)c1ccccn1)c1ccccc1)c1ncccc1,Cl,Cl,6.55,309.372,4.872600000000004,0.0,3.0,38.67,3.0,4.0,0.0,0.0,24.0,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1
 c1(cc(cc(n1)c1ccccn1)c1ccccc1)c1ncccc1,Cl,Cl,6.12,309.372,4.872600000000004,0.0,3.0,38.67,3.0,4.0,0.0,0.0,24.0,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1
 c1(cc(cc(n1)c1ccccn1)c1ccccc1)c1ncccc1,Cl,Cl,5.87,309.372,4.872600000000004,0.0,3.0,38.67,3.0,4.0,0.0,0.0,24.0,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1
c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)C#N)c1ncccc1,Cl,Cl,6.46,334.38200000000006,4.744280000000003,0.0,4.0,62.46,3.0,4.0,0.0,0.0,26.0,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1
c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)C#N)c1ncccc1,Cl,Cl,5.82,334.38200000000006,4.744280000000003,0.0,4.0,62.46,3.0,4.0,0.0,0.0,26.0,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1
c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)C#N)c1ncccc1,Cl,Cl,6.11,334.38200000000006,4.744280000000003,0.0,4.0,62.46,3.0,4.0,0.0,0.0,26.0,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1
c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)C#N)c1ncccc1,Cl,Cl,5.98,334.38200000000006,4.744280000000003,0.0,4.0,62.46,3.0,4.0,0.0,0.0,26.0,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1
c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)C#N)c1ncccc1,Cl,Cl,5.87,334.38200000000006,4.744280000000003,0.0,4.0,62.46,3.0,4.0,0.0,0.0,26.0,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1
c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)O)c1ncccc1,Cl,Cl,6.75,325.37100000000004,4.578200000000003,1.0,4.0,58.900000000000006,3.0,4.0,0.0,0.0,25.0,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1
c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)O)c1ncccc1,Cl,Cl,5.72,325.37100000000004,4.578200000000003,1.0,4.0,58.900000000000006,3.0,4.0,0.0,0.0,25.0,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1
c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)O)c1ncccc1,Cl,Cl,6.45,325.37100000000004,4.578200000000003,1.0,4.0,58.900000000000006,3.0,4.0,0.0,0.0,25.0,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1
c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)O)c1ncccc1,Cl,Cl,6.1,325.37100000000004,4.578200000000003,1.0,4.0,58.900000000000006,3.0,4.0,0.0,0.0,25.0,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1
c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)O)c1ncccc1,Cl,Cl,6.0,325.37100000000004,4.578200000000003,1.0,4.0,58.900000000000006,3.0,4.0,0.0,0.0,25.0,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1
 c1(cc(cc(n1)c1ccccn1)c1cc(ccc1)O)c1ncccc1,Cl,Cl,6.57,325.37100000000004,4.578200000000004,1.0,4.0,58.900000000000006,3.0,4.0,0.0,0.0,25.0,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1
 c1(cc(cc(n1)c1ccccn1)c1cc(ccc1)O)c1ncccc1,Cl,Cl,5.75,325.37100000000004,4.578200000000004,1.0,4.0,58.900000000000006,3.0,4.0,0.0,0.0,25.0,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1
 c1(cc(cc(n1)c1ccccn1)c1cc(ccc1)O)c1ncccc1,Cl,Cl,6.36,325.37100000000004,4.578200000000004,1.0,4.0,58.900000000000006,3.0,4.0,0.0,0.0,25.0,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1
 c1(cc(cc(n1)c1ccccn1)c1cc(ccc1)O)c1ncccc1,Cl,Cl,6.36,325.37100000000004,4.578200000000004,1.0,4.0,58.900000000000006,3.0,4.0,0.0,0.0,25.0,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1
 c1(cc(cc(n1)c1ccccn1)c1cc(ccc1)O)c1ncccc1,Cl,Cl,6.45,325.37100000000004,4.578200000000004,1.0,4.0,58.900000000000006,3.0,4.0,0.0,0.0,25.0,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1
c1(cc(cc(n1)c1ccccn1)c1c(cccc1)O)c1ncccc1,Cl,Cl,6.64,325.37100000000004,4.578200000000004,1.0,4.0,58.900000000000006,3.0,4.0,0.0,0.0,25.0,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1
c1(cc(cc(n1)c1ccccn1)c1c(cccc1)O)c1ncccc1,Cl,Cl,5.9,325.37100000000004,4.578200000000004,1.0,4.0,58.900000000000006,3.0,4.0,0.0,0.0,25.0,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1,36.461000000000006,0.4218,0,0,0.0,0,0,0,0.0,1
