pIC50,L1_MolWt,L1_MolLogP,L1_NumHDonors,L1_NumHAcceptors,L1_TPSA,L1_NumRotatableBonds,L1_NumAromaticRings,L1_NumAliphaticRings,L1_FractionCSP3,L1_HeavyAtomCount,L2_MolWt,L2_MolLogP,L2_NumHDonors,L2_NumHAcceptors,L2_TPSA,L2_NumRotatableBonds,L2_NumAromaticRings,L2_NumAliphaticRings,L2_FractionCSP3,L2_HeavyAtomCount,L3_MolWt,L3_MolLogP,L3_NumHDonors,L3_NumHAcceptors,L3_TPSA,L3_NumRotatableBonds,L3_NumAromaticRings,L3_NumAliphaticRings,L3_FractionCSP3,L3_HeavyAtomCount
4.68,0.7256466922110754,1.5542806707855212,0,0.14739189947168407,-0.19327731092436953,1.307849624343187,2.048537661410779,0.0,4.0,1.149481140617637,1.0,-0.6609,0,1.9058912913410373,66.19999999999999,-0.2790755001355615,-0.3478863853118359,0,0.0,0.2023719898176802,-18.446000000000005,-1.2465,0,-0.32297713622108165,31.5,-0.17149858514250885,-0.17149858514250885,0,0.0,-0.28712557153182633
4.92,0.7256466922110754,1.5542806707855212,0,0.14739189947168407,-0.19327731092436953,1.307849624343187,2.048537661410779,0.0,4.0,1.149481140617637,1.0,-0.6609,0,1.9058912913410373,66.19999999999999,-0.2790755001355615,-0.3478863853118359,0,0.0,0.2023719898176802,-18.446000000000005,-1.2465,0,-0.32297713622108165,31.5,-0.17149858514250885,-0.17149858514250885,0,0.0,-0.28712557153182633
4.17,0.5661001319617793,-0.32406590173580624,1,1.4370710198489194,1.2244191794364807,1.307849624343187,2.048537661410779,0.0,4.5217391304347885,0.856885941187693,1.0,-0.6609,0,1.9058912913410373,66.19999999999999,-0.2790755001355615,-0.3478863853118359,0,0.0,0.2023719898176802,-18.446000000000005,-1.2465,0,-0.32297713622108165,31.5,-0.17149858514250885,-0.17149858514250885,0,0.0,-0.28712557153182633
4.25,0.5661001319617793,-0.32406590173580624,1,1.4370710198489194,1.2244191794364807,1.307849624343187,2.048537661410779,0.0,4.5217391304347885,0.856885941187693,1.0,-0.6609,0,1.9058912913410373,66.19999999999999,-0.2790755001355615,-0.3478863853118359,0,0.0,0.2023719898176802,-18.446000000000005,-1.2465,0,-0.32297713622108165,31.5,-0.17149858514250885,-0.17149858514250885,0,0.0,-0.28712557153182633
4.41,0.5661001319617793,-0.32406590173580624,1,1.4370710198489194,1.2244191794364807,1.307849624343187,2.048537661410779,0.0,4.5217391304347885,0.856885941187693,1.0,-0.6609,0,1.9058912913410373,66.19999999999999,-0.2790755001355615,-0.3478863853118359,0,0.0,0.2023719898176802,-18.446000000000005,-1.2465,0,-0.32297713622108165,31.5,-0.17149858514250885,-0.17149858514250885,0,0.0,-0.28712557153182633
4.2,0.5661001319617793,-0.32406590173580624,1,1.4370710198489194,1.2244191794364807,1.307849624343187,2.048537661410779,0.0,4.5217391304347885,0.856885941187693,1.0,-0.6609,0,1.9058912913410373,66.19999999999999,-0.2790755001355615,-0.3478863853118359,0,0.0,0.2023719898176802,-18.446000000000005,-1.2465,0,-0.32297713622108165,31.5,-0.17149858514250885,-0.17149858514250885,0,0.0,-0.28712557153182633
4.44,0.5661001319617793,-0.32406590173580624,1,1.4370710198489194,1.2244191794364807,1.307849624343187,2.048537661410779,0.0,4.5217391304347885,0.856885941187693,1.0,-0.6609,0,1.9058912913410373,66.19999999999999,-0.2790755001355615,-0.3478863853118359,0,0.0,0.2023719898176802,-18.446000000000005,-1.2465,0,-0.32297713622108165,31.5,-0.17149858514250885,-0.17149858514250885,0,0.0,-0.28712557153182633
4.15,0.5661001319617793,-0.32406590173580624,1,1.4370710198489194,1.2244191794364807,1.307849624343187,2.048537661410779,0.0,4.5217391304347885,0.856885941187693,1.0,-0.6609,0,1.9058912913410373,66.19999999999999,-0.2790755001355615,-0.3478863853118359,0,0.0,0.2023719898176802,-18.446000000000005,-1.2465,0,-0.32297713622108165,31.5,-0.17149858514250885,-0.17149858514250885,0,0.0,-0.28712557153182633
6.38,-0.5476413819419064,-0.012650779641071433,0,-1.1422872209055512,-0.6495304003954522,-0.46122233129010937,-0.26432744018203497,0.0,0.0,-0.6060900559620275,1.0,-0.6609,0,1.9058912913410373,66.19999999999999,-0.2790755001355615,-0.3478863853118359,0,0.0,0.2023719898176802,25.543,-0.6609,0,3.4450894530248712,66.19999999999999,-0.17149858514250885,-0.17149858514250885,0,0.0,1.5127660709064878
6.06,-0.5476413819419064,-0.012650779641071433,0,-1.1422872209055512,-0.6495304003954522,-0.46122233129010937,-0.26432744018203497,0.0,0.0,-0.6060900559620275,1.0,-0.6609,0,1.9058912913410373,66.19999999999999,-0.2790755001355615,-0.3478863853118359,0,0.0,0.2023719898176802,25.543,-0.6609,0,3.4450894530248712,66.19999999999999,-0.17149858514250885,-0.17149858514250885,0,0.0,1.5127660709064878
6.38,-0.5476413819419064,-0.012650779641071433,0,-1.1422872209055512,-0.6495304003954522,-0.46122233129010937,-0.26432744018203497,0.0,0.0,-0.6060900559620275,1.0,-0.6609,0,1.9058912913410373,66.19999999999999,-0.2790755001355615,-0.3478863853118359,0,0.0,0.2023719898176802,25.543,-0.6609,0,3.4450894530248712,66.19999999999999,-0.17149858514250885,-0.17149858514250885,0,0.0,1.5127660709064878
6.38,-0.5476413819419064,-0.012650779641071433,0,-1.1422872209055512,-0.6495304003954522,-0.46122233129010937,-0.26432744018203497,0.0,0.0,-0.6060900559620275,3.353638961750771,0.9630000000000001,1,0.288771407778945,37.3,0.9812654682185873,1.7696829165862957,0,0.0,1.2439925256439752,25.543,-0.6609,0,3.4450894530248712,66.19999999999999,-0.17149858514250885,-0.17149858514250885,0,0.0,1.5127660709064878
6.32,-0.5476413819419064,-0.012650779641071433,0,-1.1422872209055512,-0.6495304003954522,-0.46122233129010937,-0.26432744018203497,0.0,0.0,-0.6060900559620275,3.353638961750771,0.9630000000000001,1,0.288771407778945,37.3,0.9812654682185873,1.7696829165862957,0,0.0,1.2439925256439752,25.543,-0.6609,0,3.4450894530248712,66.19999999999999,-0.17149858514250885,-0.17149858514250885,0,0.0,1.5127660709064878
6.43,-0.5476413819419064,-0.012650779641071433,0,-1.1422872209055512,-0.6495304003954522,-0.46122233129010937,-0.26432744018203497,0.0,0.0,-0.6060900559620275,3.353638961750771,0.9630000000000001,1,0.288771407778945,37.3,0.9812654682185873,1.7696829165862957,0,0.0,1.2439925256439752,25.543,-0.6609,0,3.4450894530248712,66.19999999999999,-0.17149858514250885,-0.17149858514250885,0,0.0,1.5127660709064878
6.07,-0.5476413819419064,-0.012650779641071433,0,-1.1422872209055512,-0.6495304003954522,-0.46122233129010937,-0.26432744018203497,0.0,0.0,-0.6060900559620275,0.0,0.0,0,-0.5197885340021011,0.0,-0.2790755001355615,-0.3478863853118359,0,0.0,-0.42260033167809685,0.0,0.0,0,-0.32297713622108165,0.0,-0.17149858514250885,-0.17149858514250885,0,0.0,-0.28712557153182633
